stock_code,issuer_name,last_buyback_date,days_since_run_date,prior_buyback_date,days_since_prior_buyback,url
SEG,CONCORD NEW ENERGY GROUP LIMITED,2026-09-02,0,,,https://links.sgx.com/1.0.0/corporate-announcements/I9E3GUZ8H97G1OSJ/bd2dc96d08b88ef1db494f0d7f051faa1f1ce574af51556c5fab06cb46be1bee
F99,FRASER AND NEAVE LIMITED.,2026-09-02,0,,,https://links.sgx.com/1.0.0/corporate-announcements/RS33T7XY9ITCGTID/401901217a80e2ca9fe450863d9f414f6fbfa5cd859ac587cc9e2d8a080de4f6
MR7,NORDIC GROUP LIMITED,2026-09-02,0,2026-08-28,5.0,https://links.sgx.com/1.0.0/corporate-announcements/KRN2YQUSBVWW9FZA/466c41f33c4f869be64325b294c3183924c78842edef54582dc2f52839bb2dac
MIJ,ALLIANCE HEALTHCARE GROUP LIMITED,2026-09-02,0,2026-08-31,2.0,https://links.sgx.com/1.0.0/corporate-announcements/IICLE4A09NVH5DHD/ceefa148b9f42f51b48fa2be53dfea97e5896ec7fe2ba6d9f8ce4f2c5c381d16
B73,GLOBAL INVESTMENTS LIMITED,2026-09-02,0,2026-08-31,2.0,https://links.sgx.com/1.0.0/corporate-announcements/E4TWQ4FD4K1OB013/a810b06de6cdb5f7d39cb7ac7b0edf6ed5a2077abf767583b036b872bd0a4824
ULG,ULTRAGREEN.AI LIMITED,2026-09-02,0,2026-08-31,2.0,https://links.sgx.com/1.0.0/corporate-announcements/TBTLA6UG4B67X951/f547ff971c019e48cb44e2231b97daedd04ba1784156446bb1c8351750ac84d6
C33,CHUAN HUP HOLDINGS LIMITED,2026-09-02,0,2026-09-01,1.0,https://links.sgx.com/1.0.0/corporate-announcements/63TT89PK73T9JI12/f6682acdecd0e2bd554def20d2ff90e246014eae9e3149433d87debd898d7d81
DCRU,DIGITAL CORE REIT MANAGEMENT PTE. LTD.,2026-09-02,0,2026-09-01,1.0,https://links.sgx.com/1.0.0/corporate-announcements/ZNME1NIU94LO7C3V/f7429e40bb8b4b578116ee4e754ec7a5befb086fc145c557f31ffebfdd6ad7df
F03,FOOD EMPIRE HOLDINGS LIMITED,2026-09-02,0,2026-09-01,1.0,https://links.sgx.com/1.0.0/corporate-announcements/DYL28VI5HTE346VK/a7c1ef8230fbdfa3ee975fb10ffd374f2c6f7d664fdc0afc8931e0d77b4a648c
I06,INTRACO LIMITED,2026-09-02,0,2026-09-01,1.0,https://links.sgx.com/1.0.0/corporate-announcements/HZ85FL3LCTMU7ECQ/3e9abb2a4c646c7dd2461ee71c1d036ac8c55b3b06c6259b8c19283f3e898eb7
BN4,KEPPEL LTD.,2026-09-02,0,2026-09-01,1.0,https://links.sgx.com/1.0.0/corporate-announcements/IJCGHVVY63W97A6Z/d47ccf26e097e03f53d49d2d6992631d9bdd27728a9b7b8a876f7ab249d17663
5UX,OXLEY HOLDINGS LIMITED,2026-09-02,0,2026-09-01,1.0,https://links.sgx.com/1.0.0/corporate-announcements/F16UT80AU4HPRDZB/0aba19172db7af30e1143e480f2ba0e594a7371dc7fff51d09958599526a42a2
S59,SIA ENGINEERING COMPANY LIMITED,2026-09-02,0,2026-09-01,1.0,https://links.sgx.com/1.0.0/corporate-announcements/TG0V7EX3O6DRF6NK/2f6d12618b201fe3df56517ea1d0ece4153d61546a26009f6e3e859618d88ee8
Z74,SINGAPORE TELECOMMUNICATIONS LIMITED,2026-09-02,0,2026-09-01,1.0,https://links.sgx.com/1.0.0/corporate-announcements/P4QMFMOEQM61U53Z/87d52a6df3fd9c021626a156f487779ac69783a82e19486ae14c205c88c9df87
AGS,THE HOUR GLASS LIMITED,2026-09-02,0,2026-09-01,1.0,https://links.sgx.com/1.0.0/corporate-announcements/3M9RAAAUNPX66NXC/f0814ba868aecbef2f7dc74f9a089638a7f316309a070e13cc52489f388d694f
U11,UNITED OVERSEAS BANK LIMITED,2026-09-02,0,2026-09-01,1.0,https://links.sgx.com/1.0.0/corporate-announcements/SUZ4XF7LADI5RHBN/b03db649fb524a11a8f650b7b358bcb3e8083475bbbfd359b2bbd763f37860d8
