stock_code,issuer_name,last_buyback_date,days_ago,buybacks_tracked,tracked_since,url
A31,ADDVALUE TECHNOLOGIES LTD,2026-09-15,3,6,2026-08-26,https://links.sgx.com/1.0.0/corporate-announcements/83KAO81LNIFZIBG9/1b74735345a5817173b7128cfe5f5a880552af7cfa2e05b6001e90f9affab3dc
AWX,AEM HOLDINGS LTD.,2026-09-01,17,1,2026-09-01,https://links.sgx.com/1.0.0/corporate-announcements/EYHVOO3DTB5SD21R/725904685e0afb940aee083d2f38ba719f6e84db94ce82c5f28136b45bc34196
MIJ,ALLIANCE HEALTHCARE GROUP LIMITED,2026-09-11,7,9,2026-08-28,https://links.sgx.com/1.0.0/corporate-announcements/EQTKXLQEVE0ACDLP/6c8829cbd0087d110b11194ae55306424955adc34ec31dd4bd6ec73ae1d31ed0
A30,ASPIAL CORPORATION LIMITED,2026-09-14,4,8,2026-08-11,https://links.sgx.com/1.0.0/corporate-announcements/DYUVRGDE4FIDVVV5/1ad5a63e7693ac31536c044d7ecf7575b088990f82cad06f6b8ff76d686fa0ca
F9D,BOUSTEAD SINGAPORE LIMITED,2026-09-16,2,1,2026-09-16,https://links.sgx.com/1.0.0/corporate-announcements/GBB96AIZ1WWYUGCU/fcf4552dd30bf269dbaad45b2adf8f5f63d6aa795204aea09ba38e046ba8e47e
C33,CHUAN HUP HOLDINGS LIMITED,2026-09-17,1,11,2026-08-31,https://links.sgx.com/1.0.0/corporate-announcements/3EY0S2K86D7Q2I3Y/0a11c9d38e736627125f083c7d52e9e412246efc6285a250d223f552fd4feab1
SEG,CONCORD NEW ENERGY GROUP LIMITED,2026-09-08,10,3,2026-09-02,https://links.sgx.com/1.0.0/corporate-announcements/91AZCAFHVM6CDELY/7ae121ed772ff55b3d220416223072a8d1eee3fa719a1850177485f18cd774dc
DCRU,DIGITAL CORE REIT MANAGEMENT PTE. LTD.,2026-09-04,14,13,2026-08-19,https://links.sgx.com/1.0.0/corporate-announcements/75FU4UE71ZDT8JSZ/714bfdc29dafc5d95b9006afaedcea4fdf388f6841f0c65902abcbd8dd62de0f
F03,FOOD EMPIRE HOLDINGS LIMITED,2026-09-17,1,14,2026-08-19,https://links.sgx.com/1.0.0/corporate-announcements/QP6VZQ2SHH4Y7U1U/23973646c428ebd9ba8401ab003ecf62bc4641be7d76a3bbe8f22809e2886cf3
F99,FRASER AND NEAVE LIMITED.,2026-09-16,2,7,2026-09-02,https://links.sgx.com/1.0.0/corporate-announcements/AT8XW9T3QBHROAPC/df7a8b5199e874b2a2664a98f23c655ee1f45434201eee5c9214bb8fb6de223b
