yahoo_ticker,name,market,surge_ratio,adtv_recent,adtv_2024,n_days_2024,recent_start,recent_end
5TP.SI,CNMC Goldmine,MAINBOARD,52.148006979858536,5593966.625125408,107270.95720620737,252,2026-09-01,2026-09-07
H22.SI,Hong Leong Asia,MAINBOARD,40.61043038517913,6122982.477378845,150773.64163107815,252,2026-09-01,2026-09-07
U10.SI,UOB Kay Hian,MAINBOARD,25.772163697173106,5563626.151895523,215877.34026793356,252,2026-09-01,2026-09-07
I07.SI,ISDN,MAINBOARD,10.31207155089002,2955186.3851869106,286575.43448986765,252,2026-09-01,2026-09-07
QS9.SI,G Invacom,MAINBOARD,9.745340785958035,1403273.4328396618,143994.29057028203,252,2026-09-01,2026-09-07
H02.SI,Haw Par,MAINBOARD,7.080609285061921,5414802.955341339,764736.8661853775,252,2026-09-01,2026-09-07
P8Z.SI,Bumitama Agri,MAINBOARD,6.708092081039951,2974965.3819179535,443489.0496399904,252,2026-09-01,2026-09-07
F9D.SI,Boustead,MAINBOARD,6.168145736463404,1056640.5791926384,171306.03334260365,252,2026-09-01,2026-09-07
AWX.SI,AEM SGD,MAINBOARD,5.838820993184938,28583845.663871765,4895482.443670525,252,2026-09-01,2026-09-07
EB5.SI,First Resources,MAINBOARD,5.064970751262451,7932982.172641754,1566244.4192129732,252,2026-09-01,2026-09-07
544.SI,CSE Global,MAINBOARD,4.8129354089768155,5007898.277187347,1040508.0998691355,252,2026-09-01,2026-09-07
5LY.SI,MarcoPolo Marine,MAINBOARD,4.457100550700413,3717395.61894089,834038.9849084105,252,2026-09-01,2026-09-07
U96.SI,Sembcorp Ind,MAINBOARD,4.0485994325925985,68611470.27137041,16946964.354888953,252,2026-09-01,2026-09-07
558.SI,UMS,MAINBOARD,3.6375615378157726,16166173.310394287,4444233.62803135,252,2026-09-01,2026-09-07
S59.SI,SIA Engineering,MAINBOARD,3.4571650519326105,2027152.3741579056,586362.6247826077,252,2026-09-01,2026-09-07
RE4.SI,Geo Energy Res,MAINBOARD,3.394798684504189,7118638.877055645,2096925.1901590517,252,2026-09-01,2026-09-07
F03.SI,Food Empire,MAINBOARD,3.0885892734715803,2069608.4380102158,670082.1167082445,252,2026-09-01,2026-09-07
E28.SI,Frencken,MAINBOARD,2.8357854783335994,15260161.368489265,5381282.006372582,252,2026-09-01,2026-09-07
OV8.SI,Sheng Siong,MAINBOARD,2.744520252581979,6622202.972474098,2412881.8019266166,252,2026-09-01,2026-09-07
E5H.SI,Golden Agri-Res,MAINBOARD,2.6784341741497433,9026537.779297233,3370080.126073162,252,2026-09-01,2026-09-07
AGS.SI,TheHourGlass,MAINBOARD,2.5967481741803398,727795.3886890411,280271.83995951735,252,2026-09-01,2026-09-07
S61.SI,SBS Transit,MAINBOARD,2.4936597809286107,252582.80123233795,101290.00081088807,252,2026-09-01,2026-09-07
VC2.SI,Olam Group,MAINBOARD,2.361733267089039,4185798.7286114693,1772341.8588123152,252,2026-09-01,2026-09-07
U06.SI,SingaporeLandGrp,MAINBOARD,2.348133523489024,299884.7982263565,127711.98708528564,252,2026-09-01,2026-09-07
S68.SI,SGX,MAINBOARD,2.341675327346429,52189749.17748108,22287354.941140436,252,2026-09-01,2026-09-07
S63.SI,ST Engineering,MAINBOARD,2.078650581738661,39717391.92971039,19107295.992234193,252,2026-09-01,2026-09-07
G92.SI,China Aviation,MAINBOARD,1.9407967701543876,820306.2070274353,422664.66002114234,252,2026-09-01,2026-09-07
O39.SI,OCBC Bank,MAINBOARD,1.8196415709128568,146343308.96206895,80424250.19376378,252,2026-09-01,2026-09-07
U14.SI,UOL,MAINBOARD,1.771997729389265,16517451.941757202,9321373.08519582,252,2026-09-01,2026-09-07
AIY.SI,IFAST,MAINBOARD,1.70612533001953,6803939.161205292,3987948.037280126,252,2026-09-01,2026-09-07
J36.SI,JMH USD,MAINBOARD,1.661779210138206,18105827.867889404,10895447.335860934,252,2026-09-01,2026-09-07
CC3.SI,StarHub,MAINBOARD,1.6451924044184199,1891620.8032393456,1149786.978203342,252,2026-09-01,2026-09-07
1MZ.SI,NamCheong,MAINBOARD,1.5926834912047207,785624.1731023788,493270.7455315716,252,2026-09-01,2026-09-07
D05.SI,DBS,MAINBOARD,1.580427299820519,258397497.35147706,163498502.8294702,252,2026-09-01,2026-09-07
TQ5.SI,Frasers Property,MAINBOARD,1.4771498516366626,205298.59858989716,138982.919276896,252,2026-09-01,2026-09-07
H78.SI,HongkongLand USD,MAINBOARD,1.4763573468117035,15326692.94713974,10381424.917374374,252,2026-09-01,2026-09-07
B61.SI,Bukit Sembawang,MAINBOARD,1.466293952679042,272001.60583496094,185502.78089737135,252,2026-09-01,2026-09-07
C09.SI,CityDev,MAINBOARD,1.4495923095254868,20930163.388404846,14438655.09693286,252,2026-09-01,2026-09-07
S58.SI,SATS,MAINBOARD,1.4419472216975844,23221688.243141174,16104395.427041084,252,2026-09-01,2026-09-07
BS6.SI,YZJ Shipbldg SGD,MAINBOARD,1.409837886404964,76054600.99615021,53945635.68587783,252,2026-09-01,2026-09-07
H30.SI,Hong Fok,MAINBOARD,1.3297974981180931,378663.7926912308,284752.9742138253,252,2026-09-01,2026-09-07
P34.SI,Delfi,MAINBOARD,1.2452339615683559,573987.4906754494,460947.50736843026,252,2026-09-01,2026-09-07
F34.SI,Wilmar Intl,MAINBOARD,1.2169614643034963,19599812.542734146,16105532.605300456,252,2026-09-01,2026-09-07
U11.SI,UOB,MAINBOARD,1.1899844759532907,101670919.16229248,85438861.78081812,252,2026-09-01,2026-09-07
YF8.SI,YZJ Fin Hldg,MAINBOARD,1.185686116621696,2897401.0137698054,2443649.2703694594,252,2026-09-01,2026-09-07
D01.SI,DFIRG USD,MAINBOARD,1.1734660897628597,2125191.793112755,1811038.0961602605,252,2026-09-01,2026-09-07
BN2.SI,Valuetronics,MAINBOARD,1.1586967861298392,393144.00484085083,339298.4338499724,252,2026-09-01,2026-09-07
BN4.SI,Keppel,MAINBOARD,1.147760331755077,27391913.941230584,23865534.627202816,252,2026-09-01,2026-09-07
